"id","codigo","nome","uf","cnpj","ie","company_id","ativa","created_at","updated_at"
5,"001",VITORIA,ES,"28138113000177","80256074.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
6,"002",CARIACICA,ES,"28138113000339","80681611.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
7,"003",CARIACICA,ES,"28138113000410","80853102.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
8,"004",LINHARES,ES,"28138113000509","81031734.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
9,"005",CUIABA,MT,"28138113000762","130381608.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
10,"006",SERRA,ES,"28138113000843","81225210.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
11,"007",RIO DE JANEIRO,RJ,"28138113000924","84710121.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
12,"008",TEIXEIRA DE FREITAS,BA,"28138113001149","41209059.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
13,"009",VENDA NOVA DO IMIGRANTE,ES,"28138113000258","80501044.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
14,"011",JI-PARANA,RO,"28138113001491","1366157.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
15,"012",NOVA FRIBURGO,RJ,"28138113001572","78172380.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
16,"013",MANHUACU,MG,"28138113001653","10978370082.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
17,"014",CONTAGEM,MG,"28138113001734","10978370163.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
18,"015",COIMBRA,MG,"28138113001815","10978370244.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
19,"016",GOVERNADOR VALADARES,MG,"28138113002030","10978370406.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
20,"017",MONTES CLAROS,MG,"28138113001904","10978370325.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
21,"018",RIO BRANCO,AC,"28138113002110","104142600120.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
22,"019",MARABA,PA,"28138113002200","154440450.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
23,"020",BARBACENA,MG,"28138113002382","10978370570.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
24,"021",CEREJEIRAS,RO,"28138113002463","4153189.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
25,"022",SINOP,MT,"28138113002544","137634439.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
26,"023",REDENCAO,PA,"28138113002625","156499886.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
27,"024",VARGINHA,MG,"28138113002706","10978370651.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
28,"025",PASSOS,MG,"28138113002897","10978370732.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
29,"026",POUSO ALEGRE,MG,"28138113002978","10978370813.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
30,"027",IMPERATRIZ,MA,"28138113003001","126284474.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
31,"028",CONFRESA,MT,"28138113003192","138001030.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
32,"029",BARRA DO GARCA,MT,"28138113003354","138160805.0",1,1,"2026-03-12 14:48:36","2026-03-12 14:48:36"
33,"030",ARAGUAINA,TO,"28138113003273","295017198.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
34,"031",PATROCINIO,MG,"28138113003435","10978370996.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
35,"032",SAO GOTARGO,MG,"28138113003605","10978371151.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
36,"033",UBERLANDIA,MG,"28138113003516","10978371070.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
37,"034",ARIQUEMES,RO,"28138113003869","6086322.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
38,"035",PARAGOMINAS,PA,"28138113003940","157853578.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
39,"036",CAPAO BONITO,SP,"28138113004245","251123333111.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
40,"037",MOGI MIRIM,SP,"28138113004407","456231785117.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
41,"038",PILAR DO SUL,SP,"28138113004164","527056190117.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
42,"039",SETE LAGOAS,MG,"28138113003788","10978371232.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
43,"041",FRANCA,SP,"28138113004326","310931366112.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
44,"042",VARGEM GRANDE DO SUL,SP,"28138113004083","711076997110.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
45,"043",UBERABA,MG,"28138113004598","10978371313.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
46,"044",PAULINA,SP,"28138113004679","513251456113.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
47,"045",PARAISO DO TOCANTINS,TO,"28138113004750","295486864.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
48,"046",DOURADOS,MS,"28138113004830","289614490.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
49,"047",TRES CORACOES,MG,"28138113004911","10978371496.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
50,"048",MONTE AZUL PAULISTA,SP,"28138113005055","463049376110.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
51,"049",ITAPETININGA,SP,"28138113005136","371449323110.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
52,"051",ARAPONGAS,SP,"28138113005217","9114632292.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
53,"052",DOURADOS,MS,"28138113005306","289641063.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
54,"053",UBERLANDIA,MG,"28138113005489","10978371589.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
55,"054",PILAR DO SUL,SP,"28138113005560","527095034111.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
56,"055",BOA ESPERANCA,MG,"28138113005640","10978371640.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
57,"056",MONTE AZUL PAULISTA,SP,"28138113005721","463050931117.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
58,"057",RIO VERDE,GO,"28138113005802","203402880.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
59,"058",APARECIDA DE GOIANIA,GO,"28138113005993","203404459.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
60,"059",RIO VERDE,GO,"28138113006027","203405102.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
61,"060",RIO VERDE,GO,"28138113006108","203405080.0",1,1,"2026-03-12 14:48:37","2026-03-12 14:48:37"
62,"061",MANHUACU,MG,"28138113006299","10978371720.0",1,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
63,"062",EUNAPOLIS,BA,"28138113006370","238792900.0",1,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
64,"071",SERRA,ES,"27338151000100","80860621.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
65,"072",CARIACICA,ES,"27338151000615",nan,2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
66,"073",JI-PARANA,RO,"27338151000704","5309069.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
67,"074",CUIABA,MT,"27338151000887","137604190.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
68,"075",RIO BRANCO,AC,"27338151000968","106172400169.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
69,"076",IMPERATRIZ,MA,"27338151001000","126270465.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
70,"077",ARAGUAINA,TO,"27338151001182","295046899.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
71,"078",MARABA,PA,"27338151001344","157392392.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
72,"079",NOVA FRIBURGO,RJ,"27338151001263","11718698.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
73,"080",SETE LAGOAS,MG,"27338151001425","40688480071.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
74,"082",INDAIATUBA,SP,"27338151001506","353471915111.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
75,"083",APARECIDA DE GOIANIA,GO,"27338151001697","203342941.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
76,"084",RIO VERDE,GO,"27338151001778","203339762.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
77,"085",RIO VERDE,GO,"27338151001859","203346050.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
78,"086",RIO VERDE,GO,"27338151001930","203346939.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
79,"087",EUNAPOLIS,BA,"27338151002073","239014425.0",2,1,"2026-03-12 14:48:38","2026-03-12 14:48:38"
